"hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","type","timestamp","productType","likesCount","firstComment","caption"
"booksmakemewhole","booksaboutbooks","bookishthoughts","cosybookstagram","booksofinstagram",,,,,,,,"Sidecar","2024-10-08T13:00:00.000Z",,"176","Beautiful lines in this book. It's giving me ""Days At The Morisaki Bookshop"" vibes","84 CHARRING CROSS ROAD

“I don’t browse in bookshops, I browse in libraries, where you can take a book home and read it, and if you like it you go to a bookshop and buy it.”

- Helene Hanff

If you love books and letters, then you have to read this book! It was such a delightful experience to read Helene’s witty letters to Frank. Helene lived in New York and Frank worked for Marks & co. booksellers in London. This book contains their correspondence for almost two decades which began in 1949 and ended in 1969, when Mark died. 

This volume contains two books - ‘84 Charring Cross Road’ and ‘The Duchess of Bloomsbury Street’. Super excited to start the second one!

Swipe to read my favourite excerpts ➡️

What are you reading at present?

(Reading Books, Books with Letters, Cosy Books, Funny Books, Brilliant Books)

#booksmakemewhole #booksaboutbooks #bookishthoughts #cosybookstagram #booksofinstagram"
"booksmakemewhole","booktours","japaneseliterature","cosybooks","bookishmood",,,,,,,,"Image","2024-10-22T04:00:00.000Z",,"229","On my tbr 🔥","BOOK TOUR STOP: THE RESTAURANT OF LOST RECIPES 

‘Tucked away down a Kyoto backstreet lies the extraordinary Kamogawa Diner. Running this unique establishment are a father-daughter duo who serve more than just mouth-watering feasts.

The pair have reinvented themselves as ‘food detectives’, offering a service that goes beyond traditional dining. Through their culinary sleuthing, they reconstruct beloved dishes from the memories of their customers, creating a connection to cherished moments from the past.

Among those who seek an appointment include: a one-hit wonder pop star, finally ready to leave Tokyo and give up on her singing career, wants to try the tempura that she ate to celebrate her only successful record and a budding Olympic swimmer who desires the bento lunch box that his estranged father used to make him. The Kamogawa Diner doesn’t just serve meals – it revives lost recipes and rekindles forgotten memories. It’s a doorway to the past through the miracle of delicious food.’

Can’t wait to read this one!!

What is your favourite recipe?

#booksmakemewhole #booktours #japaneseliterature #cosybooks #bookishmood"
"booksmakemewhole","thelostbookshop","bookwormlife","bookishobsession","bookreview",,,,,,,,"Sidecar","2024-04-30T13:26:57.000Z",,"3636","😍😍","THE LOST BOOKSHOP 

“That’s the allure of books – it’s not just the story between the covers, but the story of where they came from, who owned them. A book is so much more than a delivery vehicle for its contents.”

A book about book lover protagonists, covering all the elements of a good read for me, like romance, historical fiction and mystery! I decided to read this book when I came across a quote from it on @goodreads 

The story progresses from the perspective of three people - Martha, Henry and Opaline. Martha has fled home to get away from her abusive husband and gets a job as a housekeeper in Dublin. Henry is looking for a lost bookshop, that will help him find the manuscript of a book, he is writing his PhD thesis based on. Opaline’s narration takes place in the 1920s when she runs away from her brother to become a rare book dealer.

All of their stories are connected in one way or the other. The lady called Madame Bowden, who Martha works for, is hiding something. Henry has already been in the bookshop when he first arrived in Dublin but can’t seem to find it despite multiple attempts of searching at the same location. Opaline is making her name in history as a famous rare book dealer, when she gets pregnant and is incarcerated by her brother.

A dual timeline novel with a subtle touch of magical realism, this book is every bit of captivating and brilliant! One of my favourite reads of this year without a doubt!

Swipe to read my favourite excerpts ➡️

Your favourite read of the year so far?

#booksmakemewhole #thelostbookshop #bookwormlife #bookishobsession #bookreview"
"booksmakemewhole","emmawatson","reelbookish","reelrelatable","reelscene",,,,,,,,"Video","2024-10-25T05:50:02.000Z","clips","-1","❤️","This is such a wonderful concept ❤️

Hoping to come across one of Emma’s books soon 🤞

#booksmakemewhole #emmawatson #reelbookish #reelrelatable #reelscene"
"booksmakemewhole","japanesebook","neelrecommends","readthisbook","newbookalert",,,,,,,,"Sidecar","2024-10-09T04:00:00.000Z",,"1179","Your review makes me want to get the whole series right away","BOOK TOUR STOP : BEFORE WE FORGET KINDNESS 

What an absolutely beautiful book! A book that evokes deeply hidden emotions with every turn of the page with four incredibly heart-touching stories that leave you wanting for more! This is my first read from the series and I genuinely regret not reading the earlier books. 

Funiculi Funicula is a cafe in Tokyo that makes it possible to travel to the past or to the future to meet someone you love. But there are some rules that you must follow in order to do this.

The stories take us on an emotional journey in the cafe where a seven year old boy wants to smile for his divorced parents, a woman wants to meet her dead husband to name their child, a girl wants to meet her best friend and a father wants to meet his daughter from whom he hasn’t heard for years.

Please go and read this book already! I am sure you’ll love it too!

Thanks a ton @panmacmillanindia for sending this wonderful book my way!

If given the chance, would you travel to the past or to the future?

(Japanese Fiction, Japanese Literature, Cosy Books, Magical Realism, Books and Coffee)

#booksmakemewhole #japanesebook #neelrecommends #readthisbook #newbookalert"
"booksmakemewhole","neelrecommends","bookbesties","favoritebooks","bookishconnections",,,,,,,,"Sidecar","2024-10-11T04:00:00.000Z",,"2239","Hiya,,, I’ve read what are you looking for is in the library. Can’t wait to read the stationary shop of Tehran.❤️","I don’t ask for much :)

Have you read any of these Books?

#booksmakemewhole #neelrecommends #bookbesties #favoritebooks #bookishconnections"
"booksmakemewhole","matthaig","thelifeimpossible","favoriteauthor","octoberreads",,,,,,,,"Sidecar","2024-10-17T12:34:13.000Z",,"265","Interesting 😍","THE LIFE IMPOSSIBLE 

“Whatever is awaiting me is awaiting me. For now, let’s live.”

Matt Haig has been one of my favourite authors for a couple of years now. He’s never failed to amaze me with his beautiful perspective of life that is evident in all of his books. I have a similar reaction for this one too!

It is the story of Grace, a seventy-two year old lady, who is quite alone in the world. She had been a mathematics teacher and one of her students writes her a letter telling about his troubles. In reply, Grace writes him a wonderful story that she was lucky enough to have experienced at that age!

The story takes place on the Spanish island of Ibiza. I’ve been there before, but I regret not exploring it as described in the book. I found some instances in the book hard to believe, but after-all it’s fiction and supposed to be like that. Haig’s clever words have left me amazed as always!

How’s life? Read anything interesting?

(The Life Impossible, Matt Haig, Favourite Author)

#booksmakemewhole #matthaig #thelifeimpossible #favoriteauthor #octoberreads"
"booksmakemewhole","septemberreads","monthlywrap","readingbooksisfun","readingjourney",,,,,,,,"Sidecar","2024-10-03T13:58:32.000Z",,"515","just got the same copy of the shadow of the wind, can't wait to get into it!!","SEPTEMBER WRAP-UP

“Books are mirrors: you only see in them what you already have inside you.”
- Carlos Ruiz Zafón, The Shadow of the Wind

Didn’t do much reading last month as too many things got in the way. Tbh, I read only one complete book in September that is The Book of Bullah. But I did read a major part of Before we Forget Kindness too, so I thought it’s better to have two books in the wrap-up. Also, I majorly read The Shadow of the Wind last month, haven’t finished it yet though.

So here is the list and respective ratings:

1. The Book of Bullah 🌟🌟🌟🌟
2. Before we forget Kindness 🌟🌟🌟🌟🌟

How was September for you? Read anything good?

(Monthly Reading, Reading Wrap-up, Book Rating)

#booksmakemewhole #septemberreads #monthlywrap #readingbooksisfun #readingjourney"
"booksmakemewhole","japaneseliterature","japanesefiction","neelrecommends","toomuchreading",,,,,,,,"Sidecar","2024-10-05T06:59:26.000Z",,"809","Seishi Yokomizo is the best example of interdisciplinary thinking.👏👏","Which of these will you read first?

(Japanese Fiction, Books from Japan, Japanese Literature)

#booksmakemewhole #japaneseliterature #japanesefiction #neelrecommends #toomuchreading"
"booksmakemewhole","bookishpeople","booktravel","bookshelves","libraries",,,,,,,,"Sidecar","2024-10-02T05:50:10.000Z",,"171","Love your aesthetics💜","The best places are the ones with lots and lots of Books!

Swipe to see recent book places I’ve visited ➡️

What do you like more - Libraries or Bookshop?

(Books Places, Traveling with Books, Book Shelves, Book Shops, Libraries)

#booksmakemewhole #bookishpeople #booktravel #bookshelves #libraries"
