"hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","type","likesCount","timestamp","caption","locationId","locationName"
"RajivMakhni","GadgetGuru","CellGuru","IMC2024","QualcommAtIMC2024","TheFutureIsNow","TechForTomorrow","Snapdragon4sGen2","RedmiA45G",,,,,,,,,,,,"Video","9435","2024-10-23T13:45:26.000Z","Flagship Snapdragon 5G Under ₹10K🔥😍  This is where the true India 5G revolution will begin. 

Share this with anyone who is compromising and buying a 4G phone in 2024! 

At IMC 2024, New Delhi, Snapdragon and Xiaomi unveiled its latest offering. 

Which not only brings in incredible features but also 5G connectivity for phones under ₹10,000. 

The Redmi A4 5G is a shining example of that, becoming the first phone to sport the Snapdragon 4s Gen 2. 

Snapdragon claims that this is how they make sure everyone in India truly gets 5G connectivity, and anyone still on 4G or feature phones can begin to experience blazing fast 5G speeds. 

To know all about the new chipset and Snapdragons grand plan for making India truly 5G - watch the full video. 

What do you think will be the exact price of this phone? Under 10k is guaranteed.

Discuss in the comments and follow me, Rajiv Makhni, for all Tech, no BS!  @snapdragon_in 

#RajivMakhni #GadgetGuru #CellGuru #IMC2024 #QualcommAtIMC2024 #TheFutureIsNow #TechForTomorrow #Snapdragon4sGen2 #RedmiA45G",,
,,,,,,,,,,,,,,,,,,,,"Video","40950","2024-10-19T04:30:24.000Z","This smartwatch never needs to be charged! 😱⚡️

Share this with a friend who’s tired of constantly charging their smartwatch.

This is the Tissot T-Touch Connect Sport, a luxury hybrid smartwatch by Tissot.

The dial of this watch is a solar panel, allowing it to recharge itself. With just 20 minutes of sunlight daily, the watch can run indefinitely.

The T-Touch Sport boasts a premium build, featuring a titanium case, sapphire glass, and a ceramic bezel. It also comes with two strap options: a premium silicone strap and an elegant titanium strap.

In addition, the watch has a stunning AMOLED display and includes features like call and notification alerts, a step counter, an alarm, and many other smartwatch functions.

Watch the reel and I will tell you everything about this smartwatch including its price. 

Is this the best hybrid smartwatch? Don’t you wish all smartwatches never needed to be charged? Tell me in the comments and follow me Rajiv Makhni, for all Tech, no BS!

[RajivMakhni, GadgetGuru, CellGuru, Tissot, 
T-TouchSport, Watch, Smartwatch]",,
,,,,,,,,,,,,,,,,,,,,"Video","5329","2024-09-13T04:30:51.000Z","1,50,000 smartphone feature on laptop for free? 😱

How to use AI circle to search on Google Chrome! 

Share this with everyone who says Chrome isn’t the best browser! 

I’m telling you the fastest and simplest way to use the Circle to search feature from Samsung, Pixel and iPhones - on your laptop and PC, for free! 

All you need is the Google Chrome browser! No extension, no additional downloads, everything straight from the Chrome Browser itself! 

Watch the full video to find out how. 

Did you know about this feature? Is it the best chrome feature ever? Tell me in the comments and follow me, Rajiv Makhni, for All Tech, no BS!

[Rajiv Makhni, Cell Guru, Gadget Guru, Circle to Search, Google Chrome, Tech Tips, Tech Tricks, Tech, Technology]",,
"RajivMakhni","CellGuru","GadgetGuru","Spam","Scam","AirtelFightsSPAM","Collab",,,,,,,,,,,,,,"Video","5791","2024-10-18T04:29:57.000Z","Legendary Roundtable Scam Stories 😱🔥

Share this with your friends who wouldn’t want to miss this creators roundtable on spam and scams!

Airtel is stepping up with a revolutionary AI solution to fight spam calls, using 250+ behavioural patterns to build India’s first spam-free network.

Join me and top creators as we explore how spam and scams operate and how this tech can protect millions. 

Watch the full reel to find out where and how you can watch the entire roundtable! 

Did you think this is a revolutionary move by Airtel? Tell me in the comments and follow me, Rajiv Makhni - All Tech, No BS!

#RajivMakhni #CellGuru #GadgetGuru #Spam #Scam #AirtelFightsSPAM #Collab",,
,,,,,,,,,,,,,,,,,,,,"Video","35932","2024-10-20T04:30:07.000Z","View Insta story without them knowing🧐😲

Simplest way to view someone’s Instagram story without your view count!

Watch someone’s full Instagram story without your name showing in their story view count! 

There is no need for creating fake accounts anymore!
It’s super easy, super quick, and works 100%.

Watch the full reel to find out how to do it! 

Will you use this Insta superpower or abuse it?
Tell me in the comments and follow me, Rajiv Makhni, for all Tech, no BS!

[Rajiv Makhni, Cell Guru, Gadget Guru, Instagram Hacks, Instagram Tips]",,
,,,,,,,,,,,,,,,,,,,,"Video","949083","2024-08-25T04:30:41.000Z","No Thief Can Steal Your Phone 📵

3 Android settings to make your phone unstealable.

Share this with friends and family to show them how to keep their smartphones safe from theft!

Getting your smartphone stolen is a nightmare. 

But what if I told you there’s a way to make your Android device unstealable?

What are the top 3 problems you face when a phone gets stolen?
1- The thief turns it off, making it untraceable.
2- They put it in airplane mode, cutting off signals.
3- You can’t track your device.

I’ll show you three simple settings to tackle all these issues and keep your phone safe from thieves.

Watch through the video, and I’ll show you how to make your smartphone unstealable.

Do you have any additional tips for keeping smartphones safe? Tell me in the comments and follow me Rajiv Makhni, for all Tech, no BS!

[RajivMakhni, GadgetGuru, CellGuru, Android, AndroidTheft, FindMyDevice]",,
,,,,,,,,,,,,,,,,,,,,"Video","5178","2024-10-25T04:30:09.000Z","Dell faster than MacBook M3? 😱🔥

Share this with your friend who thinks Apple is better than Windows!

Dell just launched its XPS 13, powered by Snapdragon’s new X Elite chipset. 

It features a sleek graphite build, capacitive function keys, and a haptic glass touchpad with gesture support. 

The 13.4-inch 3K OLED touchscreen is anti-reflective, and the 55Wh battery lasted 14 hours with Type-C charging. Plus, AI live captions translate 40+ languages in real-time!

Watch the full reel to find out how well Dell XPS 13 performs against a MacBook M3 Air!

Which one would you choose between a Dell and Apple if they both are of the same price? Tell me in the comments and follow me, Rajiv Makhni - All Tech, No BS!

[Rajiv Makhni, Cell Guru, Gadget Guru, Laptop, Dell, Dell XPS 13, Apple, Macbook]",,
,,,,,,,,,,,,,,,,,,,,"Video","19545","2024-10-21T13:07:02.000Z","₹1,099 Phone Has Smartphone Features 📲🔥

Share this with your friends who want all features in a phone but don’t have the budget for it!

Jio just launched JioBharat at IMC 2024, a feature phone that’s packed with everything - UPI Payments, Chat, a sound box feature, and even movie streaming.

All this comes at an incredible price of just ₹1,099! 

Watch the full reel to see it in action and discover how these features work seamlessly.

Is this the most disruptive and value for money product? Tell me in the comments and follow me Rajiv Makhni - All Tech, No BS!

[Rajiv Makhni, Cell Guru, Gadget Guru, Jio, UPI, Soundbox]",,
,,,,,,,,,,,,,,,,,,,,"Video","6649","2024-09-14T04:30:05.000Z","Hide your WhatsApp chats on your laptop 😨

Share this with someone who has snoopy friends or family!

With this new WhatsApp extension for your laptop or PC, you can hide your chats effortlessly. 

Blur the profile picture, message preview, contact name, or even the entire chat—it’s all up to you! It’s super easy to install and use.

Watch the full reel to find out how you can get the extension and how it works!

And follow me, Rajiv Makhni - All Tech, No BS!

[Rajiv Makhni, Cell Guru, Gadget Guru, Chrome Extension, WhatsApp extension, WhatsApp tricks, WhatsApp hacks, Hidden features, Tech, Technology]",,
"RajivMakhni","CellGuru","GadgetGuru","Aviator","TheArtOfAudio","SecureConnection","InItsOwnLeague","Speakers","hifiaudio","losslessmusic",,,,,,,,,,,"Video","6947","2024-10-16T12:30:09.000Z","No need to buy expensive concert tickets 🤯😍

Share this with your friends who didn’t get the concert tickets!

I’m hosting Coldplay, Diljit Dosanjh, Karan Aujla, and AP Dhillon all at my home with the new Honeywell Aviator Hi-Fi Speaker. 

These speakers come with True-Lossless 1MBPS+ Audio Codec, Bluetooth 5.3, 30-meter range, 5-channel amplifier, 3 independent sound cavities, ambient LED lights and a 2-year warranty.

Watch the full reel to find out how these speakers sound and how its amazing features work!

Are you still attending a concert or bringing this home? Tell me in the comments and follow me, Rajiv Makhni - All Tech, No BS!  @secureconnection_ 

#RajivMakhni #CellGuru #GadgetGuru #Aviator #TheArtOfAudio #SecureConnection #InItsOwnLeague
#Speakers #hifiaudio #losslessmusic",,
